NAME	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7_1201100	123.054967	1	1	1	1	1	1	1	1
PF3D7_1201200	166.7804373	1056.653614	1	1	1310.076809	103.5525551	116.6830707	1	1
PF3D7_1201500	156.9407211	281.704377	1	1	120.4303043	1	226.4748688	101.7040499	126.2770933
PF3D7_1201600	1	1	1	1	1	1	1	532.3181946	3064.903458
PF3D7_1201700	1	1	52.08936018	1	1	1	1	273.4634648	422.8793119
PF3D7_1201800	151.8333608	1	258.1416794	86.67818573	1	1	121.9568054	67.50765117	1
PF3D7_1201900	206.423676	1	391.7890502	90.89570731	1	1	1	1	95.99042094
PF3D7_1202200	1	1	203.7384528	177.8612582	1	1	134.711487	82.72217646	67.24981069
PF3D7_1202300	91.61550376	1	237.1311123	348.9575892	1	1	534.7113824	402.6211719	4534.493125
PF3D7_1202500	118.0607264	214.3472916	84.12522117	85.08081521	1	1	174.8512299	1	133.7811907
PF3D7_1202700	129.5093613	230.6812776	1	1	1	1	116.4954881	1	1
PF3D7_1203100	175.1904308	252.3249244	143.3693804	1	1	1	225.1236843	397.9602555	71.03175149
PF3D7_1203200	111.3496896	1	78.51110531	1	1	1	168.1477788	454.4801849	1
PF3D7_1203600	1	1	99.4216738	1	1	1	1	1	1
PF3D7_1203900	1	1	1	1	104.2668507	67.58261445	108.3548823	103.8946209	113.7144311
PF3D7_1204000	1	1	1	1	1	1	1	1	469.6380865
PF3D7_1204100	167.6081005	159.0412359	1	195.9255361	1	367.9996173	154.9143241	150.4352521	59.34725151
PF3D7_1204200	100.5377595	1	63.47996745	1	1	1	388.5782876	201.5516144	1
PF3D7_1204400	1	1	1	1	1	1	1	707.7770973	102.9951435
PF3D7_1204500	1	1	76.5688283	1	1	1	1	1	1
PF3D7_1204600	74.21796771	116.0114208	1	1	1	1	1	1	1
PF3D7_1204700	1	1	1	1	1	1	1	98.65162391	1
PF3D7_1204900	1	1	1	1	490.3248101	257.9665097	1	1	1
PF3D7_1205100	1	1	1	1	1	1	78.02910536	1	69.36729086
PF3D7_1205200	1	1	1	96.24867491	1	89.51690538	1	1	1
PF3D7_1205300	1	1	126.8812123	1	1	1	1	1	1
PF3D7_1205500	148.8795648	421.6951327	462.8054371	553.1452199	4297.600511	164.1705141	473.5127837	537.8891276	944.0990778
PF3D7_1205700	1	1	69.47646051	60.51272772	1	1	1	233.5938508	804.6667859
PF3D7_1206000	1	1	1	88.4405213	1	193.2181578	1	1	1
PF3D7_1206100	1	1	1	1	1	1	1	220.7152533	102.0354061
PF3D7_1206300	233.6415813	1	161.5555877	851.2439551	1	3482.112697	163.5771893	901.8160383	507.8763399
PF3D7_1206400	1	1	1	1	1	89.45549985	1	1	1
PF3D7_1206500	1	1	1	1	1	1	1	706.7028594	1
PF3D7_1206600	181.7600996	360.5363232	113.9566873	1	104.863155	1	164.9293977	1	1
PF3D7_1206700	233.1242851	202.0696809	262.9492892	135.4078955	249.7381574	1	137.3193117	1	146.31755
PF3D7_1206800	1	1	1	1	1	1	115.381829	80.13345171	123.4898113
PF3D7_1206900	1	1	1	1	1	1	120.0714092	141.6367537	1012.278681
PF3D7_1207200	1	1	280.6349649	77.11877112	1	1	428.1132862	145.6091543	160.0273632
PF3D7_1207300	1	1	1	1	1	1	1	933.4285247	1
PF3D7_1207400	1	1	1	1	1	1	1	88.78524913	1
PF3D7_1207500	1	1	76.95577793	50.22715982	1	1	1	1	45.77994581
PF3D7_1207600	291.8941373	226.6076057	113.6421183	1	1	1	266.1417475	1	95.73619017
PF3D7_1207700	1	1	1	1	1	1	1	3530.677415	1
PF3D7_1207800	1	1	1	1	1	1	75.31352	1	584.2984831
PF3D7_1208200	87.60508465	1	1	1	1	1	1	112.8605727	103.9588527
PF3D7_1208300	158.0861266	1	77.41429762	1	1	1	153.5133013	1	1
PF3D7_1208400	1	1	145.3977069	239.4996626	1	1	73.02229034	1	1
PF3D7_1208500	1	1	1	1	1	1	135.888888	128.1984946	85.05885073
PF3D7_1208600	141.2221529	117.7898993	1	1	1	1	207.6034669	1	1
PF3D7_1208700	220.8422202	1	213.410587	1	1	1	328.3239119	311.0939531	88.49788442
PF3D7_1209000	197.1260841	150.4603581	163.2702648	1	1	1	132.6599344	1	1
PF3D7_1209100	1	1	76.86233423	1	1	1	1	162.8937598	1
PF3D7_1209200	152.3652942	87.99039132	60.39168375	1	1	1	148.8485663	1	1
PF3D7_1209400	1	1	1	1	555.8705824	378.9943942	66.32324615	1	1
PF3D7_1209900	144.571548	1	216.0648414	158.1084356	1	1	99.91599592	1	1
PF3D7_1210200	1	1	1	1	1	1	1	1308.321611	212.934752
PF3D7_1210400	74.02690036	218.3987617	92.36997528	1	97.62513268	1	1	1	1
PF3D7_1210700	1	1	75.28562195	1	1	1	1	1	1
PF3D7_1210900	1	1	1	1	1	1	1	1	53.82469154
PF3D7_1211000	1	1	1	112.3851571	1	1	96.86968174	775.2360262	63.15547008
PF3D7_1211300	1	1	237.7203456	208.3238199	1	1	168.2613399	84.91035426	87.2537656
PF3D7_1211700	101.9670938	1	162.5459365	193.9222086	1	1	1	1	228.8718409
PF3D7_1212000	152.0149641	1	286.6946222	131.0257138	1	1	119.4543	71.97114018	1
PF3D7_1212200	100.0213214	1	1	1	1	1	124.1865116	109.68022	532.1585076
PF3D7_1212300	168.638088	1	193.562375	1	1	1	272.6146123	124.9197474	1188.765115
PF3D7_1212400	1	1	116.6819152	1	1	1	58.25476821	73.06385971	1
PF3D7_1212500	1	1	142.751969	54.94983611	1	1	1	1	1
PF3D7_1212800	1	1	175.1956082	210.5124273	1	1	125.4818848	145.6090316	142.4998432
