NAME	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0204600	75.4400241022344	1	88.7830897155267	1	1	1	130.380309978416	1	1
PF3D7.0204700	103.716806876994	1	77.8752843823289	65.9623473309607	1	81.7261470882041	240.347245093316	1	1
PF3D7.0204900	1	1	116.798607425384	1	1	1	148.183702559213	84.9583320972565	1
PF3D7.0205000	1	1	1	1	1	1	164.54277209078	182.608305423359	1129.5068017243
PF3D7.0205100	1	1	1	1	1	1	330.264582141392	405.890845381906	932.857885226427
PF3D7.0205200	1	1	1	1	1	1	1	1	237.331619856014
PF3D7.0205300	1	1	1	1	1	1	1	1	544.138156185242
PF3D7.0205400	244.195281503558	159.798867924171	71.6164876465239	1	1	1	138.390995617154	1	1
PF3D7.0205600	1	1	118.797599905873	1	1	1	97.1582906494869	1	243.221992838138
PF3D7.0205700.1	172.227528566047	665.241127325055	175.070889091423	113.595164708432	130.901862745869	1	89.3573962571353	177.121061469653	1
PF3D7.0205800	1	1	190.24016090442	134.188192440553	1	1	1	91.3621699232639	1
PF3D7.0206000	199.631632248807	208.040275283401	186.833844788573	183.594729195952	1228.70085564114	323.464367491286	240.756116221844	116.697293422523	165.01175336153
PF3D7.0206100	94.1432244646875	1	1	1	148.419408276712	1	1	1	1
PF3D7.0206200	1	1	1	52.1760530255217	1181.25662294976	355.754157004788	1	203.363161044554	146.053367219288
PF3D7.0206700	174.515284596837	197.903119062831	1	1	1	1	103.404763607005	1	1
PF3D7.0206800	1	1	174.151536301181	1659.30476098361	333.90213773952	3920.56965857467	1	1	1
PF3D7.0206900.1	1	1	1	1	285.432100525348	242.249867138885	1	1	1
PF3D7.0207000	389.725519726842	1	975.452523987353	1769.70532282473	274.999849163424	2786.35415203004	327.13130437953	208.099560108386	1
PF3D7.0207100	332.506376297682	1	816.11846527412	425.491338161752	1161.80184766408	3335.66450584399	338.28560988921	379.123208625209	433.91768021715
PF3D7.0207200	1	1	1	1	1	263.627176938543	1	1	1
PF3D7.0207400	1	1	881.576789516163	520.950870779425	1	1	1	1	1
PF3D7.0207500	1	1	1200.00456600955	1045.83969115311	1	1	1	1	1
PF3D7.0207600	187.924364090201	1	6008.06555500811	16192.184551348	92.6051125968504	583.234221177067	1	1	1
PF3D7.0207700	1	1	417.758422230125	669.170158194175	1	1	1	1	1
PF3D7.0207800	1	1	217.278729197553	449.600896916018	1	1	1	1	1
PF3D7.0207900	1	1	81.1317728547956	1	1	1	1	1	1
PF3D7.0208000	1	1	181.495230388993	495.415054181483	1	1	147.737846636608	83.1222823875746	72.1132692314838
PF3D7.0208300	1	188.718559244799	1	1	1	1	187.523042682356	70.6595211706126	146.961580105219
PF3D7.0208600	364.541373487507	1	544.979568068157	163.427856710534	1	1	269.30346506443	1	71.2868386291256
PF3D7.0208800	171.77379945116	164.202905319963	67.8578305570861	1	1	1	134.092597711108	173.584471635446	1
PF3D7.0208900	1	1	1	1	1	1	1	1	1651.28804543475
PF3D7.0209000	1	1	1	1	1	1	643.088583552312	2156.72736027161	7672.56985608162
PF3D7.0209200	1	1	1	1	1	1	85.9296256015681	1	1
PF3D7.0209300	125.288287724293	1	134.132906015266	48.5530788367242	1	1	242.891036972624	95.4105121370224	1
PF3D7.0209500	1	1	1	1	189.430182637572	143.516552307892	1	288.625217327302	1
PF3D7.0209600	1	1	114.903696125139	364.985105696968	1	101.623317366317	1	1	1
