genesymbols	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0522700	1	1	1	1	1	1	1	1	1
PF3D7.0522800	1	1	1	1	1	1	1	1	1
PF3D7.0522900	1	1	1	1	1	1	178.008571491499	320.732043281775	197.575667628321
PF3D7.0523000	577.849757854548	1219.68105971895	273.036883399954	172.528420102675	1422.22087192888	173.201707558074	352.824416139631	182.737722321347	147.409653807773
PF3D7.0523100	309.714813065929	1	183.060177165198	80.1913896130398	1	1	186.76469519537	124.373984858831	99.5552540613243
PF3D7.0523200	169.375351650739	129.929492973608	71.9475149196431	1	1	1	118.897460233457	1	123.604860068056
PF3D7.0523300	89.8881685590845	1	125.191746661802	96.782910238697	1	1	318.08763682984	343.589154576305	170.015378168218
PF3D7.0523400	352.939567835297	293.222284008381	493.658155969252	232.048398067993	545.832193211315	369.114957955387	433.981803153929	391.532828170447	317.132407967131
PF3D7.0523500	1	1	1	1	1	1	1	1	205.078873493646
PF3D7.0523600	1	1	1	1	1	1	1	1	1
PF3D7.0523700	104.184980438636	1	82.7448373372354	1	1	1	159.94305638143	534.194849564112	107.3687295238
PF3D7.0523800	1	1	1	1	1	1	1	1	67.6658504640023
PF3D7.0523900	100.641815041024	110.300372288889	203.728408110834	297.379593791558	1	174.45545446806	286.538097571674	311.903900711954	194.770131756617
PF3D7.0524000	342.948594363954	663.42382617841	382.386684747655	245.109845759453	406.779969984182	1	260.060811818969	1	164.51638469146
PF3D7.0524100	573.753739013789	918.639339954064	457.890460365605	117.917675516902	175.486814858697	1	296.447625181153	274.487228853459	141.656521583277
PF3D7.0524200	1	1	1	1	1	1	1	1	1
PF3D7.0524300	86.0595205670037	150.858995700064	109.423004800432	1	1	1	177.661545571014	85.581097733077	270.986710423466
PF3D7.0524400	1	167.382099705129	1	1	1	1	68.6179981843245	63.0833406781671	1
PF3D7.0524500	115.346697477639	1	131.149491097374	84.4146567790282	1	1	89.5154655245102	59.8598093617153	1
PF3D7.0524600	130.490160816069	1	274.391848166429	248.358076244817	1	1	262.36455326254	198.544367977295	154.609484779292
PF3D7.0524700	1	1	1	1	1	1	1	1	1
PF3D7.0524800	1	1	1	1	1	94.6946381504784	154.679225311358	145.365029974815	119.647451977715
PF3D7.0524900	136.993051669771	215.03898257763	1	1	1	1	154.901843594317	94.4701273677087	88.1296363474649
PF3D7.0525000	169.783721446506	1	151.360568886966	1	1	1	109.655460666843	170.360009236515	75.7839584341615
PF3D7.0525100	309.073432492235	768.485705517309	355.047403995507	135.052498548307	1593.45838744686	314.859479255444	183.881650835618	173.540095365102	1
